,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-0485,IFA,2022/07/08,2022/06/08,XF31D-0000-001,ROAD & CLEAN STORM WATER DRAINAGE SYSTEM OVERALL PLAN,B,A,Road & Clean Storm Water Drainage System_RB,TC0-1-CAC02-D7001,陳博仁  Ext.:23341,CB-0271,A
1,TPC-TC(C0)-CD-22-0485,IFA,2022/07/08,2022/06/08,XF31D-0000-001C,HYDRAULIC CALCULATION FOR CLEAN STORM WATER DRAINAGE SYSTEM,A,A,Road & Clean Storm Water Drainage System_RB,TC0-1-CAC02-C7001,陳博仁  Ext.:23341,CB-0271,A
2,TPC-TC(C0)-CD-22-0485,IFA,2022/07/08,2022/06/08,XF31D-0000-002,ROAD & CLEAN STORM WATER DRAINAGE SYSTEM PLAN (1),B,A,Road & Clean Storm Water Drainage System_RB,TC0-1-CAC02-D7002,陳博仁  Ext.:23341,CB-0271,A
3,TPC-TC(C0)-CD-22-0485,IFA,2022/07/08,2022/06/08,XF31D-0000-003,ROAD & CLEAN STORM WATER DRAINAGE SYSTEM PLAN (2),B,A,Road & Clean Storm Water Drainage System_RB,TC0-1-CAC02-D7003,陳博仁  Ext.:23341,CB-0271,A
4,TPC-TC(C0)-CD-22-0485,IFA,2022/07/08,2022/06/08,XF31D-0000-004,ROAD & CLEAN STORM WATER DRAINAGE SYSTEM PLAN (3),B,A,Road & Clean Storm Water Drainage System_RB,TC0-1-CAC02-D7004,陳博仁  Ext.:23341,CB-0271,A
5,TPC-TC(C0)-CD-22-0485,IFA,2022/07/08,2022/06/08,XF31D-0000-005,ROAD & CLEAN STORM WATER DRAINAGE SYSTEM PLAN (4),B,A,Road & Clean Storm Water Drainage System_RB,TC0-1-CAC02-D7005,陳博仁  Ext.:23341,CB-0271,A
6,TPC-TC(C0)-CD-22-0485,IFA,2022/07/08,2022/06/08,XF31D-0000-011,ROAD & CLEAN STORM WATER DRAINAGE SYSTEM DETAILS (1),B,A,Road & Clean Storm Water Drainage System_RB,TC0-1-CAC02-D7011,陳博仁  Ext.:23341,CB-0271,A
7,TPC-TC(C0)-CD-22-0485,IFA,2022/07/08,2022/06/08,XF31D-0000-012,ROAD & CLEAN STORM WATER DRAINAGE SYSTEM DETAILS (2),B,A,Road & Clean Storm Water Drainage System_RB,TC0-1-CAC02-D7012,陳博仁  Ext.:23341,CB-0271,A
8,TPC-TC(C0)-CD-22-0485,IFA,2022/07/08,2022/06/08,XF31D-0000-013,ROAD & CLEAN STORM WATER DRAINAGE SYSTEM DETAILS (3),B,A,Road & Clean Storm Water Drainage System_RB,TC0-1-CAC02-D7013,陳博仁  Ext.:23341,CB-0271,A
9,TPC-TC(C0)-CD-22-0485,IFA,2022/07/08,2022/06/08,XF31D-0000-014,ROAD & CLEAN STORM WATER DRAINAGE SYSTEM DETAILS (4),B,A,Road & Clean Storm Water Drainage System_RB,TC0-1-CAC02-D7014,陳博仁  Ext.:23341,CB-0271,A
10,TPC-TC(C0)-CD-22-0485,IFA,2022/07/08,2022/06/08,XF31D-0000-015,ROAD & CLEAN STORM WATER DRAINAGE SYSTEM DETAILS (5),B,A,Road & Clean Storm Water Drainage System_RB,TC0-1-CAC02-D7015,陳博仁  Ext.:23341,CB-0271,A
11,TPC-TC(C0)-CD-22-0485,IFA,2022/07/08,2022/06/08,XF31D-0000-016,ROAD & CLEAN STORM WATER DRAINAGE SYSTEM DETAILS (6),B,A,Road & Clean Storm Water Drainage System_RB,TC0-1-CAC02-D7016,陳博仁  Ext.:23341,CB-0271,A
12,TPC-TC(C0)-CD-22-0485,IFA,2022/07/08,2022/06/08,XF31D-0000-017,ROAD & CLEAN STORM WATER DRAINAGE SYSTEM DETAILS (7),B,A,Road & Clean Storm Water Drainage System_RB,TC0-1-CAC02-D7017,陳博仁  Ext.:23341,CB-0271,A
13,TPC-TC(C0)-CD-22-0485,IFA,2022/07/08,2022/06/08,XF31D-0000-018,ROAD & CLEAN STORM WATER DRAINAGE SYSTEM DETAILS (8),B,A,Road & Clean Storm Water Drainage System_RB,TC0-1-CAC02-D7018,陳博仁  Ext.:23341,CB-0271,A
