批次序號,圖號:,圖名:,版次:,來文號碼:,來文日期:,來文名稱:,路徑
1,HT0-1-UMM01-A6582,"D/S,Single line Diagram with Catalog of Strainer 自動清洗式過濾器規格表與線路圖及附屬設備圖面型錄(Raw Water System)",0,HT-D1-CTC-GEL-23-2710,2023/07/04,"D/S,Single line Diagram with Catalog of Strainer 自動清洗式過濾器規格表與線路圖及附屬設備圖面型錄(Raw Water System)",/workspaces/Auto-Work-Station/00dest/00source/HT-D1-CTC-GEL-23-2710_converted.xlsx
2,HT0-1-UMM01-D6581,"D/S,Single line Diagram with Catalog of Strainer 自動清洗式過濾器規格表與線路圖及附屬設備圖面型錄(Raw Water System)",0,HT-D1-CTC-GEL-23-2710,2023/07/04,"D/S,Single line Diagram with Catalog of Strainer 自動清洗式過濾器規格表與線路圖及附屬設備圖面型錄(Raw Water System)",/workspaces/Auto-Work-Station/00dest/00source/HT-D1-CTC-GEL-23-2710_converted.xlsx
3,HT0-1-UMM01-E6575,"D/S,Single line Diagram with Catalog of Strainer 自動清洗式過濾器規格表與線路圖及附屬設備圖面型錄(Raw Water System)",0,HT-D1-CTC-GEL-23-2710,2023/07/04,"D/S,Single line Diagram with Catalog of Strainer 自動清洗式過濾器規格表與線路圖及附屬設備圖面型錄(Raw Water System)",/workspaces/Auto-Work-Station/00dest/00source/HT-D1-CTC-GEL-23-2710_converted.xlsx
1,HT0-1-KWE01-E9256,SAT procedure for 120V LCP for AWWTS 高級廢水處理系統120V控制盤工廠測試程序,0,HT-D1-CTC-GEL-23-2144,2023/05/22,SAT procedure for 120V LCP for AWWTS 高級廢水處理系統120V控制盤工廠測試程序,/workspaces/Auto-Work-Station/00dest/00source/HT-D1-CTC-GEL-23-2144/HT-D1-CTC-GEL-23-2144_converted.xlsx
1,,,UNIT 1 MAIN PIPE RACK FOUNDATION PLAN (1/2),HT-D1-CTC-GEL-23-2146,4,,/workspaces/Auto-Work-Station/00dest/00source/HT-D1-CTC-GEL-23-2146/HT-D1-CTC-GEL-23-2146_converted.xlsx
2,,,UNIT 1 MAIN PIPE RACK FOUNDATION SECTIONS & DETAILS (1/9),HT-D1-CTC-GEL-23-2146,4,,/workspaces/Auto-Work-Station/00dest/00source/HT-D1-CTC-GEL-23-2146/HT-D1-CTC-GEL-23-2146_converted.xlsx
3,,,CALCULATION SHEET FOR UNIT 1 MAIN PIPE RACK,HT-D1-CTC-GEL-23-2146,4,,/workspaces/Auto-Work-Station/00dest/00source/HT-D1-CTC-GEL-23-2146/HT-D1-CTC-GEL-23-2146_converted.xlsx
1,HT0-1-KWM01-T9229,Inspection Report of foreign LV motor (WEG) for AWWTS 高級廢水處理系統馬達檢驗報告,0,HT-D1-CTC-GEL-23-2145,2023/05/22,Inspection Report of foreign LV motor (WEG) for AWWTS 高級廢水處理系統馬達檢驗報告,/workspaces/Auto-Work-Station/00dest/00source/HT-D1-CTC-GEL-23-2145/HT-D1-CTC-GEL-23-2145_converted.xlsx
1,,,UNIT 1 MAIN PIPE RACK FOUNDATION PLAN (1/2),HT-D1-CTC-GEL-23-2146,4,,/workspaces/Auto-Work-Station/00dest/00source/HT-D1-CTC-GEL-23-2146/HT-D1-CTC-GEL-23-2146_converted.xlsx
2,,,UNIT 1 MAIN PIPE RACK FOUNDATION SECTIONS & DETAILS (1/9),HT-D1-CTC-GEL-23-2146,4,,/workspaces/Auto-Work-Station/00dest/00source/HT-D1-CTC-GEL-23-2146/HT-D1-CTC-GEL-23-2146_converted.xlsx
3,,,CALCULATION SHEET FOR UNIT 1 MAIN PIPE RACK,HT-D1-CTC-GEL-23-2146,4,,/workspaces/Auto-Work-Station/00dest/00source/HT-D1-CTC-GEL-23-2146/HT-D1-CTC-GEL-23-2146_converted.xlsx
1,HT0-1-KWM01-T9229,Inspection Report of foreign LV motor (WEG) for AWWTS 高級廢水處理系統馬達檢驗報告,0,HT-D1-CTC-GEL-23-2145,2023/05/22,Inspection Report of foreign LV motor (WEG) for AWWTS 高級廢水處理系統馬達檢驗報告,/workspaces/Auto-Work-Station/00dest/00source/HT-D1-CTC-GEL-23-2145/HT-D1-CTC-GEL-23-2145_converted.xlsx
1,,,UNIT 1 MAIN PIPE RACK FOUNDATION PLAN (1/2),HT-D1-CTC-GEL-23-2146,4,,/workspaces/Auto-Work-Station/00dest/00source/HT-D1-CTC-GEL-23-2146/HT-D1-CTC-GEL-23-2146_converted.xlsx
2,,,UNIT 1 MAIN PIPE RACK FOUNDATION SECTIONS & DETAILS (1/9),HT-D1-CTC-GEL-23-2146,4,,/workspaces/Auto-Work-Station/00dest/00source/HT-D1-CTC-GEL-23-2146/HT-D1-CTC-GEL-23-2146_converted.xlsx
3,,,CALCULATION SHEET FOR UNIT 1 MAIN PIPE RACK,HT-D1-CTC-GEL-23-2146,4,,/workspaces/Auto-Work-Station/00dest/00source/HT-D1-CTC-GEL-23-2146/HT-D1-CTC-GEL-23-2146_converted.xlsx
1,HT0-1-KWM01-T9229,Inspection Report of foreign LV motor (WEG) for AWWTS 高級廢水處理系統馬達檢驗報告,0,HT-D1-CTC-GEL-23-2145,2023/05/22,Inspection Report of foreign LV motor (WEG) for AWWTS 高級廢水處理系統馬達檢驗報告,/workspaces/Auto-Work-Station/00dest/00source/HT-D1-CTC-GEL-23-2145/HT-D1-CTC-GEL-23-2145_converted.xlsx
1,HT0-1-KWM01-S9251,Motor Data Sheet for AWWTS (Foreign) 高級廢水處理系統馬達資料(國外),0,HT-D1-CTC-GEL-23-1633,2023/04/18,Motor Data Sheet for AWWTS (Foreign) 高級廢水處理系統馬達資料(國外),/workspaces/Auto-Work-Station/00dest/00source/HT-D1-CTC-GEL-23-1633_converted.xlsx
1,HT0-1-KWM01-S9251,Motor Data Sheet for AWWTS (Foreign) 高級廢水處理系統馬達資料(國外),0,HT-D1-CTC-GEL-23-1633,2023/04/18,Motor Data Sheet for AWWTS (Foreign) 高級廢水處理系統馬達資料(國外),/workspaces/Auto-Work-Station/00dest/00source/HT-D1-CTC-GEL-23-1633_converted.xlsx
1,HT0-1-KWM01-S9251,Motor Data Sheet for AWWTS (Foreign) 高級廢水處理系統馬達資料(國外),0,HT-D1-CTC-GEL-23-1633,2023/04/18,Motor Data Sheet for AWWTS (Foreign) 高級廢水處理系統馬達資料(國外),/workspaces/Auto-Work-Station/00dest/00source/HT-D1-CTC-GEL-23-1633_converted.xlsx
1,HT0-1-KWM01-S9251,Motor Data Sheet for AWWTS (Foreign) 高級廢水處理系統馬達資料(國外),0,HT-D1-CTC-GEL-23-1633,2023/04/18,Motor Data Sheet for AWWTS (Foreign) 高級廢水處理系統馬達資料(國外),/workspaces/Auto-Work-Station/00dest/00source/HT-D1-CTC-GEL-23-1633_converted.xlsx
